,text
772,"After deprecating getters and setters and the query DSL parameter in 5.x,\r\nsupport for `minimum_number_should_match` can be removed entirely. Also\r\nconsolidated comments with the ones on 5.x branch and added an entry to the\r\nmigration docs. Remove deprecated `minimum_number_should_match` in BoolQueryBuilder >>> 1"
773,This new snapshot has the synonym graph filters and new helpers for\r\nexclusive bounds on ranges. @mattweber @mikemccand Could you\r\nhave a look at the synonym part? Upgrade to lucene-6.4.0-snapshot-084f7a0. >>> 1
774,Closes #19040\n Make path syntax for lower and upper standard deviation bounds in the extended_stats aggregation more obvious >>> 0
775,"This change is the first towards providing the ability to store\r\nsensitive settings in elasticsearch. It adds the\r\n`elasticsearch-keystore` tool, which allows managing a java keystore.\r\nThe keystore is loaded upon node startup in Elasticsearch, and used by\r\nthe Setting infrastructure when a setting is configured as secure.\r\n\r\nThere are a lot of caveats to this PR. The most important is it only\r\nprovides the tool and setting infrastructure for secure strings. It does\r\nnot yet provide for keystore passwords, keypairs, certificates, or even\r\nconvert any existing string settings to secure string settings. Those\r\nwill all come in follow up PRs. But this PR was already too big, so this\r\nat least gets a basic version of the infrastructure in.\r\n\r\nThe two main things to look at.  The first is the `SecureSetting` class,\r\nwhich extends `Setting`, but removes the assumption for the raw value of the\r\nsetting to be a string. SecureSetting provides, for now, a single\r\nhelper, `stringSetting()` to create a SecureSetting which will return a\r\nSecureString (which is like String, but is closeable, so that the\r\nunderlying character array can be cleared). The second is the\r\n`KeyStoreWrapper` class, which wraps the java `KeyStore` to provide a\r\nsimpler api (we do not need the entire keystore api) and also extend\r\nthe serialized format to add metadata needed for loading the keystore\r\nwith no assumptions about keystore type (so that we can change this in\r\nthe future) as well as whether the keystore has a password (so that we\r\ncan know whether prompting is necessary when we add support for keystore\r\npasswords). Add infrastructure for elasticsearch keystore >>> 1"
776,Provides an example of using is and an example return description\r\nand explains that we've added descriptions for some tasks but not\r\neven close to all of them. And that we expect to change the\r\ndescriptions as we learn more.\r\n\r\nCloses #22407\r\n Document the `detailed` parameter of tasks API >>> 1
777,Currently `geo_point` and `geo_shape` field are treated as `text` field by the field stats API and we\r\ntry to extract the min/max values with MultiFields.getTerms.\r\nThis is ok in master because a `geo_point` field is always a Point field but it can cause problem in 5.x (and 2.x) because the legacy\r\n `geo_point` are indexed as terms.\r\n As a result the min and max are extracted and then printed in the FieldStats output using BytesRef.utf8ToString\r\n which can throw an IndexOutOfBoundException since it's not valid UTF8 strings.\r\n This change ensure that we never try to extract min/max information from a `geo_point` field.\r\n It does not add a new type for geo points in the fieldstats API so we'll continue to use `text` for this kind of field.\r\n This PR is targeted to master even though we could only commit this change to 5.x. I think it's cleaner to have it in master too before we make any decision on\r\n  https://github.com/elastic/elasticsearch/pull/21947.\r\n\r\nFixes #22384 Implement stats for geo_point and geo_shape field >>> 1
778,"Fixes #16838\r\n\r\n<!--\r\nThank you for your interest in and contributing to Elasticsearch! There\r\nare a few simple things to check before submitting your pull request\r\nthat can help with the review process. You should delete these items\r\nfrom your submission, but they are here to help bring them to your\r\nattention.\r\n-->\r\n\r\n- Have you signed the [contributor license agreement](https://www.elastic.co/contributor-agreement)?\r\n- Have you followed the [contributor guidelines](https://github.com/elastic/elasticsearch/blob/master/CONTRIBUTING.md)?\r\n- If submitting code, have you built your formula locally prior to submission with `gradle check`?\r\n- If submitting code, is your pull request against master? Unless there is a good reason otherwise, we prefer pull requests against master and will backport as needed.\r\n- If submitting code, have you checked that your submission is for an [OS that we support](https://www.elastic.co/support/matrix#show_os)?\r\n Allows to use nested aggregation and terms aggregation in sort by deep metric >>> 0"
779,Previous to his change when the range query was rewritten to an unbounded range (`[* TO *]`) it maintained the timezone and format for the query. This means that queries with different timezones and format which are rewritten to unbounded range queries actually end up as different entries in the search request cache.\r\n\r\nThis is inefficient and unnecessary so this change nulls the timezone and format in the rewritten query so that regardless of the timezone or format the rewritten query will be the same.\r\n\r\nAlthough this does not fix #22412 (since it deals with the WITHIN case rather than the INTERSECTS case) it is born from the same arguments RangeQuery WITHIN case now normalises query >>> 1
780,"Previously, we could run into a situation where attempting to delete an\r\nindex due to a cluster state update would cause an unhandled exception\r\nto bubble up to the ClusterService and cause the cluster state applier\r\nto fail.  The result of this situation is that the cluster state never\r\ngets updated on the ClusterService because the exception happens before\r\nall cluster state appliers have completed and the ClusterService only\r\nupdates the cluster state once all cluster state appliers have\r\nsuccessfully completed.\r\n\r\nAll other methods on IndicesService properly handle all exceptions and\r\nnot just IOExceptions, but there were two instances with respect to\r\nindex deletion where only IOExceptions where handled by the\r\nIndicesService.  If any other exception occurred during these delete\r\noperations, the exception would be bubbled up to the ClusterService,\r\ncausing the aforementioned issues.\r\n\r\nThis commit ensures all methods in IndicesService properly capture all\r\ntypes of Exceptions, so that the ClusterService manages to update the\r\ncluster state, even in the presence of shard creation/deletion failures.\r\n\r\nNote that the lack of updating the cluster state in the presence of such\r\nexceptions can have many unintended consequences, one of them being\r\nthe tripping of the assertion in IndicesClusterStateService#removeUnallocatedIndices\r\nwhere the assumption is that if there is an `IndexService` to remove with\r\nan unassigned shard, then the index must exist in the cluster state, but if \r\nthe cluster state was never updated due to the aforementioned exceptions,\r\nthen the cluster state will not have the index in question. IndicesService handles all exceptions during index deletion >>> 1"
781,"#22325 changed the recovery retry logic to use unique recovery ids. The change also introduced an issue, however, which made it possible for the shard store to be closed under CancellableThreads, triggering assertions in the node locking logic. This PR limits the use of CancellableThreads only to the part where we wait on the old recovery target to be closed.\r\n\r\nTest failure: https://elasticsearch-ci.elastic.co/job/elastic+elasticsearch+5.x+multijob-darwin-compatibility/106/consoleFull\r\n\r\nLog output:\r\n\r\n```\r\n1> [2017-01-04T14:29:36,961][WARN ][o.e.e.NodeEnvironment    ] [node_sd2] lock assertion failed\r\n  1> java.nio.channels.ClosedByInterruptException: null\r\n  1> \tat java.nio.channels.spi.AbstractInterruptibleChannel.end(AbstractInterruptibleChannel.java:202) ~[?:1.8.0_60]\r\n  1> \tat sun.nio.ch.FileChannelImpl.size(FileChannelImpl.java:315) ~[?:?]\r\n  1> \tat org.apache.lucene.mockfile.FilterFileChannel.size(FilterFileChannel.java:85) ~[lucene-test-framework-6.4.0-snapshot-ec38570.jar:6.4.0-snapshot-ec38570 ec385708c6e0c47440127410c1223f14703c24e1 - jim - 2016-11-29 01:11:32]\r\n  1> \tat org.apache.lucene.mockfile.FilterFileChannel.size(FilterFileChannel.java:85) ~[lucene-test-framework-6.4.0-snapshot-ec38570.jar:6.4.0-snapshot-ec38570 ec385708c6e0c47440127410c1223f14703c24e1 - jim - 2016-11-29 01:11:32]\r\n  1> \tat org.apache.lucene.mockfile.FilterFileChannel.size(FilterFileChannel.java:85) ~[lucene-test-framework-6.4.0-snapshot-ec38570.jar:6.4.0-snapshot-ec38570 ec385708c6e0c47440127410c1223f14703c24e1 - jim - 2016-11-29 01:11:32]\r\n  1> \tat org.apache.lucene.store.NativeFSLockFactory$NativeFSLock.ensureValid(NativeFSLockFactory.java:170) ~[lucene-core-6.4.0-snapshot-ec38570.jar:6.4.0-snapshot-ec38570 ec385708c6e0c47440127410c1223f14703c24e1 - jim - 2016-11-29 01:11:32]\r\n  1> \tat org.elasticsearch.env.NodeEnvironment.assertEnvIsLocked(NodeEnvironment.java:902) ~[main/:?]\r\n  1> \tat org.elasticsearch.env.NodeEnvironment.availableShardPaths(NodeEnvironment.java:782) ~[main/:?]\r\n  1> \tat org.elasticsearch.env.NodeEnvironment.deleteShardDirectoryUnderLock(NodeEnvironment.java:492) ~[main/:?]\r\n  1> \tat org.elasticsearch.indices.IndicesService.deleteShardStore(IndicesService.java:657) ~[main/:?]\r\n  1> \tat org.elasticsearch.index.IndexService.onShardClose(IndexService.java:442) ~[main/:?]\r\n  1> \tat org.elasticsearch.index.IndexService.access$100(IndexService.java:93) ~[main/:?]\r\n  1> \tat org.elasticsearch.index.IndexService$StoreCloseListener.handle(IndexService.java:524) ~[main/:?]\r\n  1> \tat org.elasticsearch.index.IndexService$StoreCloseListener.handle(IndexService.java:509) ~[main/:?]\r\n  1> \tat org.elasticsearch.index.store.Store.closeInternal(Store.java:366) ~[main/:?]\r\n  1> \tat org.elasticsearch.index.store.Store.access$000(Store.java:126) ~[main/:?]\r\n  1> \tat org.elasticsearch.index.store.Store$1.closeInternal(Store.java:147) ~[main/:?]\r\n  1> \tat org.elasticsearch.common.util.concurrent.AbstractRefCounted.decRef(AbstractRefCounted.java:64) ~[main/:?]\r\n  1> \tat org.elasticsearch.index.store.Store.decRef(Store.java:348) ~[main/:?]\r\n  1> \tat org.elasticsearch.indices.recovery.RecoveryTarget.closeInternal(RecoveryTarget.java:330) ~[main/:?]\r\n  1> \tat org.elasticsearch.common.util.concurrent.AbstractRefCounted.decRef(AbstractRefCounted.java:64) ~[main/:?]\r\n  1> \tat org.elasticsearch.indices.recovery.RecoveryTarget.resetRecovery(RecoveryTarget.java:193) ~[main/:?]\r\n  1> \tat org.elasticsearch.indices.recovery.RecoveriesCollection.lambda$resetRecovery$306(RecoveriesCollection.java:113) ~[main/:?]\r\n  1> \tat org.elasticsearch.common.util.CancellableThreads.executeIO(CancellableThreads.java:105) ~[main/:?]\r\n  1> \tat org.elasticsearch.indices.recovery.RecoveriesCollection.resetRecovery(RecoveriesCollection.java:113) ~[main/:?]\r\n  1> \tat org.elasticsearch.indices.recovery.PeerRecoveryTargetService.retryRecovery(PeerRecoveryTargetService.java:156) ~[main/:?]\r\n  1> \tat org.elasticsearch.indices.recovery.PeerRecoveryTargetService.retryRecovery(PeerRecoveryTargetService.java:152) ~[main/:?]\r\n  1> \tat org.elasticsearch.indices.recovery.PeerRecoveryTargetService.doRecovery(PeerRecoveryTargetService.java:289) ~[main/:?]\r\n  1> \tat org.elasticsearch.indices.recovery.PeerRecoveryTargetService.access$900(PeerRecoveryTargetService.java:73) ~[main/:?]\r\n  1> \tat org.elasticsearch.indices.recovery.PeerRecoveryTargetService$RecoveryRunner.doRun(PeerRecoveryTargetService.java:555) ~[main/:?]\r\n  1> \tat org.elasticsearch.common.util.concurrent.ThreadContext$ContextPreservingAbstractRunnable.doRun(ThreadContext.java:527) ~[main/:?]\r\n  1> \tat org.elasticsearch.common.util.concurrent.AbstractRunnable.run(AbstractRunnable.java:37) ~[main/:?]\r\n  1> \tat java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142) ~[?:1.8.0_60]\r\n  1> \tat java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617) ~[?:1.8.0_60]\r\n  1> \tat java.lang.Thread.run(Thread.java:745) ~[?:1.8.0_60]\r\n``` Don't close store under CancellableThreads >>> 1"
782,This change adds 5.3 and updates 5.x branch to have 5.3 as latest. Add 5.3 version constant >>> 1
783,"Randomized runner uses a flag, tests.asserts, which we have previously\r\nnot used, but is used in lucene for disabling assertions. This change\r\nmodifies the gradle configuration to look for this flag and pass through\r\nto the test runner to determine whether -ea and -esa are added to the\r\njava commandline for tests. Use tests.asserts flag to allow disabling assertions >>> 1"
784,"Today we execute the low level handshake on the TCP layer in #connectToNode.\r\nIf #openConnection is used directly, which is truly expert, no handshake is executed\r\nwhich allows connecting to nodes that are not necessarily compatible. This change\r\nmoves the handshake to #openConnection to prevent bypassing this logic. Execute low level handshake in #openConnection >>> 1"
785,"In preparation to be able to parse search hits from rest responses for the java rest client, \r\nthis adds methods to parse InternalSearchHit and InternalSearchHits from their\r\nxContent representation. Most of the information in the original object is\r\npreserved when rendering the object to xContent and then parsing it back.\r\nHowever, some pieces of information are lost which we currently cannot parse\r\nback from the rest response, most notably:\r\n\r\n* the ""match"" property of the lucene explanation is not rendered in the\r\n  ""_explain"" section and cannot be reconstructed on the client side\r\n* the original ""shard"" information (SearchShardTarget) is only rendered if the\r\n  ""explanation"" is also set. However, we always render the ""_index"" name that \r\n  is contained in SearchShardTarget. In order to be able to parse back only \r\n  the index name, this information is now stored separately in InternalSearchHit.\r\n  Also we loose the indexUUID of the contained ShardId because we don't write \r\n  it out. As a replacement we can use ClusterState.UNKNOWN_UUID on the receiving side.\r\n Add parsing from xContent to InternalSearchHit and InternalSearchHits >>> 1"
786,"This is the backport of the gradle changes made as part of #22371.\r\n\r\nBackporting these gradle changes will make backporting the high level rest client submodule easier in the future when ready (it is currently under development in master), by simply copying its directory from master to 5.x ideally. Backport gradle changes made in #22371 >>> 1"
787,"This PR removes some more usages of ParseFieldMatcher. ObjectParser and friends no longer require a `ParseFieldMatcherSupplier`, which allows to start moving away from carrying `ParseFieldMatcher` around in parsers.\r\n\r\nRelates to #19552\r\nRelates to #22130 Remove some more usages of ParseFieldMatcher >>> 1"
788,"Netty plays a lot of games with recycling byte buffers in thread local\r\ncaches.\r\n\r\nThe recycler in particular appears to be fraught with peril. It appears\r\nthat there are circumstances where the recycler does not recycle quickly\r\nenough and can exceed its capacity leading to heap exhaustion and out of\r\nmemory errors. If you spend a few minutes reading the history of the\r\nrecycler on the Netty GitHub issues, it appears it has been nothing but\r\na source of trouble, and the project itself has an open issue that\r\nproposes disabling by default and possibly even removing the recycler.\r\n\r\nWe are seeing users struggle with issues in 5.x that I think are largely\r\ndriven by some of the problems here with Netty.\r\n\r\nThis change proposes to disable the recycler. I think that disabling\r\nthis feature will return some of the stablity that this feature appears\r\nto be losing us.\r\n\r\nI have done performance testing on my workstation with disabling this\r\nand I do not see a difference in performance. I propose that we make\r\nthis change in master and let some nightly benchmarks run to confirm\r\nthat there is not a difference in performance. If we are comfortable\r\nwith the performance changes, I propose backporting this to all active\r\nbranches.\r\n\r\nRelates netty/netty#5904, #22406, #22360, #22189 Disable the Netty recycler >>> 1"
789,This change makes the terms aggregation work when the buckets coming from different indices are a mix of decimal numbers and non-decimal numbers. In this case non-decimal number (longs) are promoted to decimal (double) which can result in a loss of precision for big numbers.\r\n\r\nFixes #22232 Promote longs to doubles when a terms agg mixes decimal and non-decimal numbers >>> 1
790,This is related to #22116. A logIfNecessary() call makes a call to\r\nNetworkInterface.getInterfaceAddresses() which requires SocketPermission connect\r\nprivileges. By moving this to bootstrap the logging call can be made before\r\ninstalling the SecurityManager.\r\n\r\n\r\nAs a note:\r\n\r\nIFConfig and its method need to be made public in order for this to work. Another option would be to move the class into a different package - but that would cause issues as it depends on package private methods in NetworkUtils. Move IfConfig.logIfNecessary call into bootstrap >>> 1
791,"Someone else also submitted a merge/pull request (https://github.com/elastic/elasticsearch/pull/22457), please consider this one since I filed the request. Thank you.\r\n\r\nCloses #22454. Add support for ca-central-1 region to EC2 and S3 plugins >>> 1"
792,"Fixes #22454 \r\n\r\n<!--\r\nThank you for your interest in and contributing to Elasticsearch! There\r\nare a few simple things to check before submitting your pull request\r\nthat can help with the review process. You should delete these items\r\nfrom your submission, but they are here to help bring them to your\r\nattention.\r\n-->\r\n\r\n- Have you signed the [contributor license agreement](https://www.elastic.co/contributor-agreement)?\r\n- Have you followed the [contributor guidelines](https://github.com/elastic/elasticsearch/blob/master/CONTRIBUTING.md)?\r\n- If submitting code, have you built your formula locally prior to submission with `gradle check`?\r\n- If submitting code, is your pull request against master? Unless there is a good reason otherwise, we prefer pull requests against master and will backport as needed.\r\n- If submitting code, have you checked that your submission is for an [OS that we support](https://www.elastic.co/support/matrix#show_os)?\r\n Add support for ca-central1 region #22454 >>> 0"
793,"When I migrated from ES 1.7 to 5.1, I have found that there is no alternative to `inQuery` function described in docs. After some investigation i found #13145, where someone wrote that `termsQuery` should  be used instead. Adds removed inQuery method alternative >>> 0"
794,"When I migrated from ES 1.7 to 5.1, I have found that there is no described alternative to inQuery function in the docs. After some investigation i found #13145, where someone wrote that termsQuery should be used instead. Adds removed inQuery method alternative >>> 1"
795,"This  PR contains some minor improvements made to `SearchShardTarget`:\r\n\r\n- removed duplicated getters with and without get prefix, kept the latter only\r\n- removed redundant indexText member field\r\n- make its instance members final, possible as it already implements `Writeable`\r\n\r\nAlso removed a couple of unused methods from `InternalSearchHit`. Clean up SearchShardTarget >>> 1"
796,Today when an index is shrunk the version information is not carried over\r\nfrom the source to the target index. This can cause major issues like mapping\r\nincompatibilities for instance if an index from a previous major version is shrunk.\r\n\r\nThis commit ensures that all version information from the soruce index is preserved\r\nwhen a shrunk index is created.\r\n\r\nCloses #22373 Ensure shrunk indices carry over version information from its source >>> 1
797,"Right now closing a shard looks like it strands refresh listeners,\r\ncausing tests like\r\n`delete/50_refresh/refresh=wait_for waits until changes are visible in search`\r\nto fail. Here is a build that fails:\r\nhttps://elasticsearch-ci.elastic.co/job/elastic+elasticsearch+multi_cluster_search+multijob-darwin-compatibility/4/console\r\n\r\nThis attempts to fix the problem by implements `Closeable` on\r\n`RefreshListeners` and rejecting listeners when closed. More importantly\r\nthe act of closing the instance flushes all pending listeners\r\nso we shouldn't have any stranded listeners on close.\r\n\r\nBecause it was needed for testing, this also adds the number of\r\npending listeners to the `CommonStats` object and all API to which\r\nthat flows: `_cat/nodes`, `_cat/indices`, `_cat/shards`, and\r\n`_nodes/stats`.\r\n Close and flush refresh listeners on shard close >>> 1"
798,"This commit adds the Gradle logic so that a marker file is created in 'elasticsearch/build/vagrant/' for every Vagrant box. This marker file is deleted when the project is cleaned up (`gradle clean`) or when the Vagrantfile is changed. In both of these cases, it will force the destruction of the VM (`vagrant destroy --force`) before the next VM start. This should help the CI infrastructure to run packaging tests for external projects. [TESTS] Use a marker file to check if a Vagrant box must be destroyed >>> 0"
799,"Primary relocation for shadow replicas is broken as the recovery process accesses the engine on the source shard after it's been closed. This results in the source shard failing itself. This has not been detected by tests as, after failing source and target shard of the relocation, the master simply reassigns the primary to the node where it wanted to relocate to as every node has access to the shard files.\r\n\r\nTest failure exhibiting behavior (might be an un-related issue though):\r\n\r\nhttps://elasticsearch-ci.elastic.co/job/elastic+elasticsearch+master+periodic/1282/consoleFull\r\n\r\nRelates to #20300 Fix primary relocation for shadow replicas >>> 1"
800,"We have a custom logger implementation known as a prefix logger that is used to write every message by the logger with a given prefix. This is useful for node-level, index-level, and shard-level messages where we want to log the node name, index name, and shard ID, respectively, if possible. The mechanism that we employ is that of a marker. Log4j has a built-in facility for managing these markers, but its effectively a memory leak because these markers are held in a map and can never be released. This is problematic for us since indices and shards do not necessarily have infinite life spans and so on a node where there are many indices being creted and destroyed, this infinite lifespan can be a problem indeed. To solve this, we use our own cache of markers. This is necessary to prevent too many instances of the marker for the same prefix from being created (just think of all the shard-level components that exist in the system), and to workaround the effective leak in Log4j. These markers are stored as weak references in a weak hash map. It is these weak references that are unneeded. When a key is removed from a weak hash map, the corresponding entry is placed on a reference queue that is eventually cleared. This commit simplifies prefix logger by removing this unnecessary weak reference wrapper.\r\n\r\nRelates #20429 Remove unneeded weak reference from prefix logger >>> 1"
801,"This commit introduces sequence-number-based recovery. When a replica has fallen out of sync, rather than performing a file-based recovery we first attempt to replay operations since the last local checkpoint on the replica. To do this, at the start of recovery the replica tells the primary what its local checkpoint is. The primary will then wait for all operations between that local checkpoint and the current maximum sequence number to complete; this is to ensure that there are no gaps in the operations that will be replayed from the primary to the replica. This is a best-effort attempt as we currently have no guarantees on the primary that these operations will be available; if we are not able to replay all operations in the desired range, we just fallback to file-based recovery. Later work will strengthen the guarantees.\r\n\r\nRelates #10708 Introduce sequence-number-based recovery >>> 1"
802,"This patch fixes the incorrect indentation in the REST tests, which makes tests in language runners (eg. Ruby, Python) to fail, since the `skip` clause is parsed as an empty value. Tha Java YAML parser is smarter/lenient about whitespace, so it doesn't catch this. Fixed the incorrect indentation for the `skip` clauses in the REST tests >>> 1"
803,"This patch fixes the incorrect indentation in the REST tests, which makes tests in language runners (eg. Ruby, Python) to fail, since the skip clause is parsed as an empty value. Tha Java YAML parser is smarter/lenient about whitespace, so it doesn't catch this.\r\n [TEST] Fixed the incorrect indentation for the `skip` clauses in the REST tests >>> 1"
804,Changes the error message when `action.auto_create_index` or\r\n`index.mapper.dynamic` forbids automatic creation of an index\r\nfrom `no such index` to one of:\r\n* `no such index and [action.auto_create_index] is [false]`\r\n* `no such index and [index.mapper.dynamic] is [false]`\r\n* `no such index and [action.auto_create_index] contains [-<pattern>] which forbids automatic creation of the index`\r\n* `no such index and [action.auto_create_index] ([all patterns]) doesn't match`\r\n\r\nThis should make it more clear *why* there is `no such index`.\r\n\r\nCloses #22435\r\nCloses #21448 Better error when can't auto create index  >>> 1
805,"This removes `AllocationCommandRegistry` entirely and replaces\r\nit with `XContentParser#namedObject`, removing another class from\r\nguice.\r\n\r\n Use namedObject to parse AllocationCommands >>> 1"
806,This is the last thing in `SearchRequestParsers`. After this\r\nis merged we should be able to drop it.\r\n\r\nBreaks java plugins registering `SearchExtParser`s by making\r\nthe registration more standard. Replace SearchExtRegistry with namedObject >>> 1
807,"Currently, such tasks are only created for default boxes (`centos-7`, `ubuntu-1404`) and not for all boxes. This can be misleading for developers who want to debug testing scripts on non-default boxes like Fedora 24. [TESTS] Create vagrant up task for all boxes >>> 1"
808,ES v5.0.0+ uses the `O_EXCL | O_CREAT` file creation flags when writing snapshot blobs to ensure that existing files in the repository are not mistakenly overridden. Some NFS implementations have issues with the `O_EXCL` file creation flag though. This commit adds a FS-repository setting `enforce_write_once` (default `true`) that provides the possibility to revert to the pre-v5.0.0 file creation flags. Add setting to FsRepository to disable O_EXCL file creation flag >>> 0
809,"The Java APIs for unmapping are changing, and Lucene 6.4.0 will support it correctly, so until then we need an assume in this test case.\r\n\r\nSee https://issues.apache.org/jira/browse/LUCENE-6989 for details.\r\n\r\nCloses #22495\r\n Lucene with Java 1.9 doesn't support unmap in MMapDirectory until Lucene 6.4.0 >>> 1"
810,"Removes `AggregatorParsers`, replacing all of its functionality with\r\n`XContentParser#namedObject`.\r\n\r\nThis is the third bit of payoff from #22003, one less thing to pass\r\naround the entire application.\r\n Replace AggregatorParsers with namedObject >>> 1"
811,If the remote doesn't return a content type then reindex\r\ntried to guess the content-type. This didn't work most\r\nof the time and produced a rather useless error message.\r\nGiven that Elasticsearch always returns the content-type\r\nwe are dropping content-type detection in favor of just\r\nfailing the request if the remote didn't return a content-type.\r\n\r\nCloses #22329\r\n\r\n Remove content type detection from reindex-from-remote >>> 1
812,"Today Elasticsearch can act as a tribe node that fully joins another cluster to support operations across all different clusters. While tribe is a popular feature it also has it's downsides like:\r\n * non-trivial testing\r\n * special configuration\r\n * receives a non trivial amount of clusterstate updates\r\n * maintains connections to all nodes in all clusters and vice versa\r\n * has to be restarted to join another cluster\r\n * needs special strategies to disambiguate indices with identical names\r\n\r\nThat said, from a functionality standpoint the only feature in elasticsearch that needs cross cluster communication is in-fact the search layer. Everything else can be done on the client side by communicating with each cluster individually. For `_search` the merge of aggregations etc. is non trivial and can't be done on the client side. \r\n\r\nThe feature added in this PR is called `cross cluster search` and allows any node to act as a federated search node without joining any of the other clusters. There are 2 basic modes of operations: \r\n\r\n * globally configured remote clusters via cluster state settings\r\n * locally configured remote clusters via elasticsearch.yaml\r\n\r\nA node with such a configuration will `connect` to the remote cluster and discover a set of nodes that it can communicate with for federated search (Default # of nodes is 3). It won't connect to all nodes but only eligible nodes in the remote cluster (depending on their version and optionally on a node attribute (`node.addr`).\r\n\r\nRemote clusters can be configured and updated at any time via cluster settings without the need of a node-restart.  Each remote cluster specified via a `name` -> `seed node IP list` ie:\r\n\r\n * `search.remote.my_cluster.seeds: 127.0.0.1:9300, 127.0.0.1:9301`\r\n\r\nindices of this cluster can then be addressed via the clusters alias: `GET index_1,my_cluster:index_1, my_cluster:other*/_search` \r\n\r\n\r\nCloses #21473\r\n  Add federated cross cluster search capabilities >>> 1"
813,Make match queries that use phrase prefix or cutoff frequency options\r\ngraph aware.\r\n\r\nCloses #22490 Additional Graph Support in Match Query >>> 1
814,This can be confusing when unexpected.\r\n\r\nResolves #4707 Document simple_query_string negation with default_operator of OR >>> 1
815,Removes another parser registery type thing in favor of\r\n`XContentParser#namedObject`. Yet another parser registry\r\nconsolidated!\r\n\r\nBreaks that plugin API for suggesters by making defining an\r\nextra suggester more like anything else. Replace Suggesters with namedObject >>> 1
816,"This change converts repository-s3 to use the new secure settings. In\r\norder to support the multiple ways we allow aws creds to be configured,\r\nit also moves the main methods for the keystore wrapper into a\r\nSecureSettings interface, in order to allow settings prefixing to work. Make s3 repository sensitive settings use secure settings >>> 1"
817,"-e is for environment variable which do not seems to be be used by es to override settings. -E is passed to the command, which is what we want.\r\n\r\nThe original command line does not change the elastiscsearch instance configuration.\r\n\r\nMoreover, with this configuration http.publish_host expose the public ip of the container, thus preventing the use of a SniffingConnectionPool on the host. While not really usefull on a development machine with a single node, it avoids using different connection pool based on the environment. Fixed command line for development environment >>> 0"
818,Reindex-from-remote was accepting source filtering in the request\r\nbut ignoring it and setting `_source=true` on the search URI. This\r\nfixes the filtering so it is piped through to the remote node and\r\nadds tests for that.\r\n\r\nCloses #22507\r\n Fix source filtering in reindex-from-remote >>> 1
819,"This commit updates the cluster allocation explain API documentation to\r\nexplain the new request parameters and response formats, and gives\r\nexamples of the explain API responses under various scenarios. Cluster allocation explain API documentation >>> 1"
820,"The `NodeConnectionsService` currently determines which nodes to connect to / disconnect from by inspecting cluster state changes and connecting to added nodes / disconnecting from removed nodes. When a master steps down (for example due to another master-eligible node shutting down which brings the number of master-eligible nodes below minimum_master_master), and the connection to other existing nodes was dropped while pinging, however, the connection to these nodes is not re-established while publishing the first cluster state that establishes the node as master.\r\nThis PR changes the `NodeConnectionsService` connect / disconnect logic to always rely on the state that is to be / was published, looking not only at the added / removed nodes, but validating that exactly all nodes that are currently registered in `NodeConnectionsService` are connected (corresponds to a NOOP if the node is already connected). Keep NodeConnectionsService in sync with current nodes in the cluster state >>> 1"
821,"The document in the randomized `GetResult` can exist with no source (like if the `_source` was disabled in mappings) but the test should not always expect a non null source when the doc exists.\r\n\r\nRelated to #22386.\r\n\r\nIt can be reproduced with: \r\n<details>\r\n\r\n>  gradle :core:test -Dtests.seed=9F97D124A3385FBB -Dtests.class=org.elasticsearch.index.get.GetResultTests -Dtests.method=""testGetSourceAsBytes"" -Dtests.security.manager=true -Dtests.locale=fr-BE -Dtests.timezone=Africa/Porto-Novo\r\n</details>\r\n\r\n [TESTS] Fix GetResultTests.testGetSourceAsBytes() >>> 1"
822,"Affix settings are useful to namespace a certain setting. Yet, affix settings\r\nmust be specialized for their concrete type which causes lot of code duplication.\r\nThis commit allows to reuse an existing setting with and affix setting as soon as\r\na concrete key is available. Allow affix settings to delegate to actual settings >>> 1"
823,"Reindex-from-remote had a race when it tried to clear the scroll. It\r\nfirst starts the request to clear the scroll and then submits a task\r\nto the generic threadpool to shutdown the client. These two things\r\nrace and, in my experience, closing the scroll generally loses. That\r\nmeans that most of the time reindex-from-remote isn't clearing the\r\nscrolls that it uses. This isn't the end of the world because we\r\nflush old scroll contexts after a while but this isn't great.\r\n\r\nNoticed while experimenting with #22514. Fix reindex from remote clearing scroll >>> 1"
824,"Cluster state publishing has special handling to apply the cluster state on the active master: The master publishes the new cluster state to all nodes except itself, waits for up to 30 seconds for the nodes to apply the cluster state, and then applies the cluster state to itself.\r\nThis PR changes ClusterService so that the master publishes cluster state changes to itself in the same way as it publishes changes to other nodes. This is achieved by adding a second thread pool executor to ClusterService so that there is a dedicated thread for publishing and one for applying cluster states. A future step will be to separate the publishing aspects out of the ClusterService class into a dedicated component. Apply cluster state on active master using standard publishing mechanism >>> 0"
825,Relates to #14899 Use general cluster state batching mechanism for snapshot state updates >>> 1
826,"As the title says, we can reuse code rather than duplicate it in BytesRestResponse. use ElasticsearchException#renderException in BytesRestResponse#convert >>> 1"
